日期	问题jira链接+摘要	收集到的信息	产品Agent判断	准确率标注	吴优	状态	复盘后的产品Agent判断	备注	相关文档
2026-07-07	PC-37245｜导航播报智能提示不支持	Jira：导航播报模式设置为智能提示不支持；在线对话命中meta_id 1023，深蓝项目功能点24569的高德导航播报模式取值范围包含“智能播报”。	结论：支持智能播报；转语音平台/NLU排查“智能”到“智能播报”的取值映射或BIGSUR项目继承。	FALSE	1023评论区认为4.0新增功能；转开发增加参数指令类型。	可转语音	复盘后：按视频实际识别处理；若识别成“制冷”，转ASR/语音识别修正；若识别为“智能”，转语音平台/NLU查1023智能播报映射。	责任方：语音平台/NLU；不是新增需求，重点查深蓝项目点24569。准确率：错/需视频。	Jira评论；深蓝8155语音/地图仅MasterGo UE，MasterGo暂未读。
2026-07-07	PC-37244｜操作/调节比例尺泛化缺失	Jira：比例尺说法被判不支持；在线对话命中meta_id 1020“地图放大/缩小”，标准详情明确包含“我要设置/操作/调节比例尺”。	结论：比例尺控制已支持；转语音/NLU排查BIGSUR项目继承、泛化和下发。	TRUE	NLU泛化不足，需新增“操作/调节比例尺”泛化。	可转语音	复盘后：比例尺说法已属1020支持范围，转语音/NLU补“操作/调节比例尺”泛化及BIGSUR继承。	与PC-37242区分：比例尺说法已在标准功能内，不需要先转产品需求。准确率：对。	Jira评论；深蓝8155地图/语音仅MasterGo UE。
2026-07-07	PC-37242｜地图缩放最大/最小极值规则缺失	Jira：地图缩到最小/放到最大未直接执行，评论已说明语音不支持该说法；当前已关联PC-37447“地图语音增加放大/缩小极值说法_IFS”；Alchemy/标准功能1020已包含最大/最小策略。	Jira：地图缩到最小/放到最大未直接执行，评论已说明语音不支持该说法；当前已关联PC-37447“地图语音增加放大/缩小极值说法_IFS”；Alchemy/标准功能1020已包含最大/最小策略。	TRUE	当前未支持地图缩放到最大/最小；转规则需求补极值槽位。	转需求	复盘后：转需求，地图语音增加放大/缩小极值说法；需求票贴1020功能点链接，准备IFS/AIS拆票。	本次列表已复核：Jira状态处理中，已有需求票PC-37447，继续跟票进展。准确率：对。	Jira评论；深蓝8155地图/语音仅MasterGo UE。
2026-07-07	PC-37191｜理发类POI结果不一致	Jira：理发/理发店结果不同；在线对话显示“我要理个发”命中1209导航去地址cut_hair，“找个理发店”命中1208搜索地址barbershop。	Jira：理发/理发店结果不同；在线对话显示“我要理个发”命中1209导航去地址cut_hair，“找个理发店”命中1208搜索地址barbershop。	TRUE	理发动作与理发店名称落域不统一，需统一POI类目和搜索/导航策略。	可转语音	复盘后：预期结果必须一致；Jira回复“预期结果需要是一样的”，再转NLU统一理发类POI映射。	责任方：语音/NLU统一cut_hair与barbershop类目映射，地图按统一POI类目返回。准确率：对。	Jira评论；深蓝8155地图/语音仅MasterGo UE。
2026-07-07	PC-37176｜历史导航理发店类别词召回	Jira：历史导航按类别词召回失败；在线对话“导航去我去过的那个理发店”命中1919不支持，但1209详情里深蓝范围包含历史记录和tag类地址。	Jira：历史导航按类别词召回失败；在线对话“导航去我去过的那个理发店”命中1919不支持，但1209详情里深蓝范围包含历史记录和tag类地址。	FALSE	历史记录未接入语音处理资料库，需支持历史导航类别词召回。	可转研发	复盘后：评论关键词兜底范围后转程云，不直接说不支持。	typeCode/类别语义/关键词映射只给本单语义边界，不扩全量类别表。准确率：旧判断需修正。	Jira PC-37176；Alchemy 1209/1919；程云评论。
2026-07-07	PC-37167｜蓝牙电话未授权入口绕过	Jira：蓝牙电话未授权时从导航语音打电话绕过授权；雷磊评论要求确认通过非点击方式触发打电话的授权限制；工作说明：蓝牙电话内部对接人雷磊。	解决：先找李欣/雷磊确认语音入口授权拦截能否补；能补则转BTPhone实现，不能补再明确关闭边界。	TRUE	所有入口必须先过隐私授权，BTPhone补授权拦截。	优先确认	复盘后：先找李欣/雷磊问语音入口授权限制是否好加，能加就补；暂不自动评论Jira。	本次列表已复核：当前仍待办，动作不是泛泛产品确认，是找李欣/雷磊确认BTPhone授权拦截可补性。	Jira评论；深蓝8155蓝牙电话仅MasterGo UE，内部对接人雷磊。
2026-07-07	PC-37139｜导航2D北向结束后变车头向上	Jira：导航中2D北向结束后变车头向上，已有评论说明这是已确认体验，客户重新提出。	结论：按既有体验关闭；导航中强制车头向上、结束恢复记忆不作为bug处理，客户坚持再转体验需求。	TRUE	仅江铃客户提出，其余认为不是问题，需找UE确认。	可关闭	复盘后：深蓝无此需求，Resolve -> Invalid / 无效bug，评论“深蓝无此需求”。	责任方：陈可同步结论；不建议直接当bug修。准确率：对。	Jira评论；深蓝8155地图仅MasterGo UE。
2026-07-07	PC-37092｜场景积木隐私协议弹窗位置	Jira：未同意场景积木隐私协议时点击桌面卡片，仅在桌面弹独立隐私弹窗；曾爽评论“场景积木下的需求就是这样，专门做的独立弹窗”；工作说明：场景积木有需求文档/UE入口。	解决：按现设计关闭；场景积木独立隐私弹窗可接受，若客户要求进应用内弹窗再另转需求。	TRUE	MasterGo里是点开后弹协议弹窗，需找原UE确认。	可关闭	复盘后：主屏幕弹场景积木隐私弹窗可接受，维持现状，按无效bug关闭。	本次列表已复核：Jira状态重新打开，但复盘结论仍是维持现状/无效bug关闭。	Jira评论；场景积木需求文档已读，未见弹窗位置明确规则。
2026-07-07	PC-36972｜退出百度地图导航	Jira：退出百度地图导航无需求和包名；在线对话命中meta_id 1108“关闭特定页面/APP”，target=baidu_navi。	解决：不是需求，按无效bug关闭，不转需求。	FALSE	退出百度地图导航无需求和包名，找报告人确认包名。	可关闭	复盘后：不是需求，Resolve -> Invalid / 无效bug，不转需求。	标准功能支持关闭APP/页面，但复盘结论是不按需求处理。准确率：旧判断错。	Jira评论；深蓝8155语音/地图仅MasterGo UE。
2026-07-07	PC-36610｜红灯等待自动巡航气泡消失	Jira：自动巡航红灯气泡消失，评论已定位为onStopCruise触发后清图层；工作说明：地图仅MasterGo UE。	结论：红灯等待不应等同退出巡航；转地图研发修复气泡清除逻辑。	TRUE	红灯等待不应等同退出巡航，地图修气泡清除逻辑。	可转研发	复盘后：转地图研发，评论“红灯等待不应触发退出巡航清图层”，转陈宇/白云。	责任方：地图研发；退出巡航边界按真实退出处理。准确率：对。	Jira评论已有根因；深蓝8155地图仅MasterGo UE。
